country;id;year;;;;
Afghanistan;AFG;1990;F-GAS;CO2;CH4;N2O
Afghanistan;AFG;1991;0,0001;0,1916;0,6121;0,1962
Afghanistan;AFG;1992;0,0002;0,1756;0,6225;0,2016
Afghanistan;AFG;1993;0,0004;0,0994;0,6832;0,2171
Afghanistan;AFG;1994;0,0005;0,0943;0,685;0,2202
Afghanistan;AFG;1995;0,0006;0,0906;0,6999;0,2088
Afghanistan;AFG;1996;0,0007;0,0851;0,7016;0,2126
Afghanistan;AFG;1997;0,0011;0,0753;0,709;0,2145
Afghanistan;AFG;1998;0,0016;0,0657;0,711;0,2218
Afghanistan;AFG;1999;0,0019;0,0593;0,7098;0,229
Afghanistan;AFG;2000;0,0023;0,0444;0,7194;0,2339
Afghanistan;AFG;2001;0,003;0,0455;0,7291;0,2223
Afghanistan;AFG;2002;0,0042;0,0523;0,7298;0,2137
Afghanistan;AFG;2003;0,0045;0,0604;0,7214;0,2137
Afghanistan;AFG;2004;0,0052;0,0648;0,7138;0,2162
Afghanistan;AFG;2005;0,0061;0,0523;0,7268;0,2149
Afghanistan;AFG;2006;0,0066;0,0699;0,7091;0,2144
Afghanistan;AFG;2007;0,0074;0,0842;0,7021;0,2063
Afghanistan;AFG;2008;0,0081;0,1112;0,6908;0,1899
Afghanistan;AFG;2009;0,0078;0,1779;0,6395;0,1748
Afghanistan;AFG;2010;0,0076;0,251;0,5741;0,1673
Afghanistan;AFG;2011;0,0073;0,276;0,554;0,1627
Afghanistan;AFG;2012;0,0072;0,3523;0,494;0,1465
Afghanistan;AFG;2013;0,008;0,3115;0,4992;0,1814
Afghanistan;AFG;2014;0,0091;0,3017;0,5227;0,1665
Albania;ALB;1990;0,0098;0,2937;0,532;0,1645
Albania;ALB;1991;0,0003;0,5209;0,3482;0,1306
Albania;ALB;1992;0,0004;0,4568;0,4147;0,1281
Albania;ALB;1993;0,0005;0,3364;0,5026;0,1605
Albania;ALB;1994;0,0005;0,3264;0,4961;0,1771
Albania;ALB;1995;0,0005;0,3099;0,4931;0,1965
Albania;ALB;1996;0,0005;0,3027;0,489;0,2079
Albania;ALB;1997;0,0006;0,3185;0,4861;0,1948
Albania;ALB;1998;0,0008;0,2748;0,5151;0,2094
Albania;ALB;1999;0,0008;0,3174;0,473;0,2088
Albania;ALB;2000;0,0008;0,4284;0,4024;0,1684
Albania;ALB;2001;0,0008;0,4348;0,3914;0,1731
Albania;ALB;2002;0,001;0,4988;0,3497;0,1506
Albania;ALB;2003;0,0011;0,5227;0,3193;0,157
Albania;ALB;2004;0,0013;0,5379;0,3091;0,1518
Albania;ALB;2005;0,0015;0,5535;0,299;0,146
Albania;ALB;2006;0,0017;0,5421;0,306;0,1502
Albania;ALB;2007;0,0021;0,4836;0,3484;0,1659
Albania;ALB;2008;0,0021;0,4927;0,3372;0,168
Albania;ALB;2009;0,0023;0,5106;0,3272;0,1599
Albania;ALB;2010;0,0024;0,5259;0,3135;0,1583
Albania;ALB;2011;0,0024;0,5391;0,3044;0,1541
Albania;ALB;2012;0,0025;0,5549;0,2919;0,1507
Albania;ALB;2013;0,0027;0,5202;0,3142;0,1629
Albania;ALB;2014;0,0029;0,5402;0,3038;0,1531
Algeria;DZA;1990;0,0029;0,5597;0,2901;0,1472
Algeria;DZA;1991;0,0003;0,7516;0,2011;0,0469
Algeria;DZA;1992;0,0004;0,7459;0,2069;0,0468
Algeria;DZA;1993;0,0005;0,7362;0,2146;0,0487
Algeria;DZA;1994;0,0006;0,7503;0,2034;0,0456
Algeria;DZA;1995;0,0007;0,7435;0,2113;0,0445
Algeria;DZA;1996;0,0008;0,7436;0,2127;0,0429
Algeria;DZA;1997;0,0015;0,721;0,2339;0,0436
Algeria;DZA;1998;0,0021;0,7096;0,2476;0,0407
Algeria;DZA;1999;0,0026;0,6936;0,2595;0,0443
Algeria;DZA;2000;0,003;0,6867;0,2687;0,0416
Algeria;DZA;2001;0,0035;0,6745;0,2812;0,0409
Algeria;DZA;2002;0,0048;0,6562;0,297;0,0421
Algeria;DZA;2003;0,0056;0,6666;0,2892;0,0385
Algeria;DZA;2004;0,0065;0,6678;0,2871;0,0386
Algeria;DZA;2005;0,0074;0,6601;0,2897;0,0428
Algeria;DZA;2006;0,0081;0,6675;0,2879;0,0365
Algeria;DZA;2007;0,0112;0,6546;0,2946;0,0396
Algeria;DZA;2008;0,0133;0,6655;0,2829;0,0383
Algeria;DZA;2009;0,0156;0,6743;0,2758;0,0343
Algeria;DZA;2010;0,0172;0,6836;0,2629;0,0363
Algeria;DZA;2011;0,0195;0,6785;0,2645;0,0374
Algeria;DZA;2012;0,0209;0,6894;0,2544;0,0353
Algeria;DZA;2013;0,0222;0,6927;0,2489;0,0362
Algeria;DZA;2014;0,0242;0,6919;0,2498;0,0341
Andorra;AND;1990;0,0248;0,6953;0,2402;0,0397
Andorra;AND;1991;0;0,9447;0,0533;0,002
Andorra;AND;1992;0;0,9416;0,0563;0,0021
Andorra;AND;1993;0;0,9384;0,0594;0,0022
Andorra;AND;1994;0;0,9359;0,0619;0,0022
Andorra;AND;1995;0;0,9323;0,0654;0,0023
Andorra;AND;1996;0;0,9322;0,0655;0,0023
Andorra;AND;1997;0;0,9342;0,0636;0,0022
Andorra;AND;1998;0;0,9335;0,0643;0,0022
Andorra;AND;1999;0;0,9348;0,0631;0,0021
Andorra;AND;2000;0;0,9356;0,0624;0,002
Andorra;AND;2001;0;0,9349;0,0631;0,002
Andorra;AND;2002;0;0,9314;0,0666;0,0021
Andorra;AND;2003;0;0,9299;0,068;0,0021
Andorra;AND;2004;0;0,928;0,0698;0,0021
Andorra;AND;2005;0;0,929;0,0689;0,0021
Andorra;AND;2006;0;0,9286;0,0693;0,0021
Andorra;AND;2007;0;0,9204;0,0773;0,0023
Andorra;AND;2008;0;0,9163;0,0814;0,0023
Andorra;AND;2009;0;0,9132;0,0844;0,0024
Andorra;AND;2010;0;0,9064;0,091;0,0025
Andorra;AND;2011;0;0,9033;0,0941;0,0026
Andorra;AND;2012;0;0,8994;0,098;0,0026
Andorra;AND;2013;0;0,8964;0,101;0,0026
Andorra;AND;2014;0;0,8918;0,1055;0,0027
Angola;AGO;1990;0;0,8862;0,111;0,0028
Angola;AGO;1991;0;0,5597;0,3164;0,1238
Angola;AGO;1992;0;0,5554;0,3217;0,1229
Angola;AGO;1993;0;0,5502;0,3275;0,1222
Angola;AGO;1994;0;0,5476;0,3317;0,1206
Angola;AGO;1995;0;0,5428;0,3376;0,1196
Angola;AGO;1996;0;0,5498;0,3343;0,1159
Angola;AGO;1997;0;0,5357;0,3463;0,118
Angola;AGO;1998;0,0001;0,5351;0,3487;0,1162
Angola;AGO;1999;0,0001;0,5184;0,3574;0,1241
Angola;AGO;2000;0,0001;0,5205;0,3599;0,1194
Angola;AGO;2001;0,0001;0,5346;0,3513;0,114
Angola;AGO;2002;0,0002;0,5185;0,368;0,1133
Angola;AGO;2003;0,0002;0,5282;0,3676;0,104
Angola;AGO;2004;0,0002;0,5253;0,369;0,1055
Angola;AGO;2005;0,0002;0,5215;0,3746;0,1037
Angola;AGO;2006;0,0003;0,5117;0,3865;0,1015
Angola;AGO;2007;0,0003;0,474;0,4276;0,0981
Angola;AGO;2008;0,0003;0,4896;0,4191;0,091
Angola;AGO;2009;0,0004;0,4551;0,4547;0,0898
Angola;AGO;2010;0,0004;0,4433;0,4689;0,0874
Angola;AGO;2011;0,0004;0,4353;0,478;0,0863
Angola;AGO;2012;0,0004;0,4636;0,4534;0,0826
Angola;AGO;2013;0,0005;0,4338;0,4843;0,0814
Angola;AGO;2014;0,0005;0,4475;0,4699;0,0821
Antigua & Barbuda;ATG;1990;0,0006;0,4255;0,4913;0,0827
Antigua & Barbuda;ATG;1991;0;0,6835;0,2824;0,034
Antigua & Barbuda;ATG;1992;0,0078;0,6581;0,299;0,0351
Antigua & Barbuda;ATG;1993;0,0154;0,642;0,3074;0,0352
Antigua & Barbuda;ATG;1994;0,0222;0,6359;0,3069;0,0349
Antigua & Barbuda;ATG;1995;0,0293;0,6198;0,3151;0,0358
Antigua & Barbuda;ATG;1996;0,0353;0,6148;0,3143;0,0357
Antigua & Barbuda;ATG;1997;0,0621;0,606;0,2983;0,0336
Antigua & Barbuda;ATG;1998;0,0855;0,5955;0,2868;0,0322
Antigua & Barbuda;ATG;1999;0,1068;0,5836;0,2786;0,031
Antigua & Barbuda;ATG;2000;0,1259;0,5728;0,2714;0,0299
Antigua & Barbuda;ATG;2001;0,1422;0,5664;0,2634;0,028
Antigua & Barbuda;ATG;2002;0,1672;0,5565;0,2496;0,0267
Antigua & Barbuda;ATG;2003;0,188;0,551;0,2357;0,0253
Antigua & Barbuda;ATG;2004;0,2028;0,5529;0,2203;0,0239
Antigua & Barbuda;ATG;2005;0,2198;0,5464;0,2111;0,0227
Antigua & Barbuda;ATG;2006;0,2384;0,5346;0,2051;0,0219
Antigua & Barbuda;ATG;2007;0,2304;0,5743;0,1765;0,0187
Antigua & Barbuda;ATG;2008;0,2439;0,5687;0,1695;0,018
Antigua & Barbuda;ATG;2009;0,2599;0,5581;0,1649;0,0172
Antigua & Barbuda;ATG;2010;0,2701;0,5558;0,1578;0,0163
Antigua & Barbuda;ATG;2011;0,2875;0,5569;0,1445;0,0112
Antigua & Barbuda;ATG;2012;0,3318;0,5001;0,156;0,012
Antigua & Barbuda;ATG;2013;0,344;0,4922;0,1522;0,0117
Antigua & Barbuda;ATG;2014;0,3588;0,4797;0,15;0,0114
Argentina;ARG;1990;0,3705;0,4713;0,1471;0,0111
Argentina;ARG;1991;0,0055;0,5658;0,3041;0,1246
Argentina;ARG;1992;0,0047;0,5742;0,2992;0,1218
Argentina;ARG;1993;0,004;0,5729;0,3002;0,1229
Argentina;ARG;1994;0,0034;0,5765;0,2988;0,1213
Argentina;ARG;1995;0,0027;0,5827;0,2934;0,1212
Argentina;ARG;1996;0,002;0,5855;0,2925;0,12
Argentina;ARG;1997;0,0022;0,5991;0,2797;0,119
Argentina;ARG;1998;0,0024;0,6027;0,2776;0,1173
