Entity;Code;Year;SF6;PFC;HFC;N2O;CH4;CO2
Afghanistan;AFG;1960;0;0;0;0;0;414371
Afghanistan;AFG;1961;0;0;0;0;0;491378
Afghanistan;AFG;1962;0;0;0;0;0;689396
Afghanistan;AFG;1963;0;0;0;0;0;707731
Afghanistan;AFG;1964;0;0;0;0;0;839743
Afghanistan;AFG;1965;0;0;0;0;0;1008425
Afghanistan;AFG;1966;0;0;0;0;0;1092766
Afghanistan;AFG;1967;0;0;0;0;0;1283
Afghanistan;AFG;1968;0;0;0;0;0;1224778
Afghanistan;AFG;1969;0;0;0;0;0;942419
Afghanistan;AFG;1970;0;0;0;30422563;10202;1672152
Afghanistan;AFG;1971;0;0;0;30061382;10202;1895839
Afghanistan;AFG;1972;0;0;0;2530158;9171;1532806
Afghanistan;AFG;1973;0;0;0;26744041;9404;1639149
Afghanistan;AFG;1974;0;0;0;29373182;9988;1917841
Afghanistan;AFG;1975;0;0;0;3153723;10477;2127
Afghanistan;AFG;1976;0;0;0;3265633;10536;1987514
Afghanistan;AFG;1977;0;0;0;3268981;10456;2390884
Afghanistan;AFG;1978;0;0;0;3272918;10380;2159863
Afghanistan;AFG;1979;0;0;0;3214545;10176;2240537
Afghanistan;AFG;1980;0;0;0;3275026;10377;1760
Afghanistan;AFG;1981;0;0;0;3256705;10305;1983847
Afghanistan;AFG;1982;0;0;0;3327323;10260;2101191
Afghanistan;AFG;1983;0;0;0;3189;9858;2522896
Afghanistan;AFG;1984;0;0;0;30621521;9055;2830924
Afghanistan;AFG;1985;0;0;0;28625369;8309;3509319
Afghanistan;AFG;1986;0;0;0;25169024;7415;3142619
Afghanistan;AFG;1987;0;0;0;26771073;7485;3124284
Afghanistan;AFG;1988;0;0;0;27720448;7920;2867594
Afghanistan;AFG;1989;0;0;0;2771307;7465;2775919
Afghanistan;AFG;1990;0;0;0;27481965;7628;2614571
Afghanistan;AFG;1991;0;0;0;27558938;7702;2438555
Afghanistan;AFG;1992;0;0;0;27190131;7386;1393
Afghanistan;AFG;1993;0;0;0;27666508;7475;1345789
Afghanistan;AFG;1994;0;0;0;25944272;7667;1294451
Afghanistan;AFG;1995;0;0;0;27351424;7886;1243113
Afghanistan;AFG;1996;0;0;0;29488068;8612;1177107
Afghanistan;AFG;1997;0;0;0;3177996;9214;1096433
Afghanistan;AFG;1998;0;0;0;3332996;9700;1041428
Afghanistan;AFG;1999;0;0;0;3600557;10306;821408
Afghanistan;AFG;2000;0;0;0;3316566;9384;773737
Afghanistan;AFG;2001;0;0;0;3058894;8667;638058
Afghanistan;AFG;2002;0;0;0;3375;9929;883747
Afghanistan;AFG;2003;0;0;0;3337088;10351;1027
Afghanistan;AFG;2004;0;0;0;3352371;10521;949753
Afghanistan;AFG;2005;0;0;0;3411736;10699;1327454
Afghanistan;AFG;2006;0;0;0;3426;10870;1650
Afghanistan;AFG;2007;0;0;0;3470357;11050;2274
Afghanistan;AFG;2008;0;0;0;3497234;11224;4217
Afghanistan;AFG;2009;0;0;0;3341149;11497;6776616
Afghanistan;AFG;2010;0;0;0;3356556;13493;8471
Afghanistan;AFG;2011;0;0;0;339012156;13628233;12251447
Afghanistan;AFG;2012;0;0;0;342368712;13763166;20454526
Afghanistan;AFG;2013;0;0;0;0;0;21269
Albania;ALB;1960;0;0;0;0;0;2024184
Albania;ALB;1961;0;0;0;0;0;2280874
Albania;ALB;1962;0;0;0;0;0;2464224
Albania;ALB;1963;0;0;0;0;0;2082856
Albania;ALB;1964;0;0;0;0;0;2017
Albania;ALB;1965;0;0;0;0;0;2174531
Albania;ALB;1966;0;0;0;0;0;2552232
Albania;ALB;1967;0;0;0;0;0;2680577
Albania;ALB;1968;0;0;0;0;0;3072946
Albania;ALB;1969;0;0;0;0;0;3245295
Albania;ALB;1970;0;0;0;7418982;1764;3744007
Albania;ALB;1971;0;0;0;7560311;1717;4352729
Albania;ALB;1972;0;0;0;7568061;1737;5643513
Albania;ALB;1973;0;0;0;8036471;1794;5291481
Albania;ALB;1974;0;0;0;8194943;1815;4345395
Albania;ALB;1975;0;0;0;818462;1865;4594751
Albania;ALB;1976;0;0;0;9252384;1943;4950
Albania;ALB;1977;0;0;0;10071559;2002;5721
Albania;ALB;1978;0;0;0;12077662;2113;6494257
Albania;ALB;1979;0;0;0;12299033;2182;7587023
Albania;ALB;1980;0;0;0;12399442;2228;5170
Albania;ALB;1981;0;0;0;12878175;2236;7341334
Albania;ALB;1982;0;0;0;12546661;2245;7308331
Albania;ALB;1983;0;0;0;14811087;2307;7631027
Albania;ALB;1984;0;0;0;14635875;2327;7825378
Albania;ALB;1985;0;0;0;14676981;2289;7880383
Albania;ALB;1986;0;0;0;1542715;2369;8056399
Albania;ALB;1987;0;0;0;14877582;2497;7444
Albania;ALB;1988;0;0;0;15445967;2606;7326666
Albania;ALB;1989;0;0;0;16946119;2648;8984
Albania;ALB;1990;0;0;0;15601153;2547;5309816
Albania;ALB;1991;0;0;0;10062941;2397;4286723
Albania;ALB;1992;0;0;0;10123639;2269;2515562
Albania;ALB;1993;0;0;0;9335929;2344;2335879
Albania;ALB;1994;0;0;0;10695713;2784;1925175
Albania;ALB;1995;0;0;0;9823063;2769;2086523
Albania;ALB;1996;0;0;0;9008941;2618;2017
Albania;ALB;1997;0;0;0;848842;2458;1543807
Albania;ALB;1998;0;0;0;9303255;2371;1752826
Albania;ALB;1999;0;0;0;9258429;2357;2984938
Albania;ALB;2000;0;0;16;12634267;2609;3021608
Albania;ALB;2001;0;0;0;9270054;2345;3223293
Albania;ALB;2002;0;0;0;9892038;2333;3751341
Albania;ALB;2003;0;0;0;954862;2473;4294057
Albania;ALB;2004;0;0;0;10291597;2470;4165712
Albania;ALB;2005;0;0;62;10262116;2477;4254
Albania;ALB;2006;0;0;0;10757496;2485;3898021
Albania;ALB;2007;0;0;0;10703835;2506;3927357
Albania;ALB;2008;0;0;87;11097473;2517;4374731
Albania;ALB;2009;0;0;0;1140;2475;4378398
Albania;ALB;2010;0;0;105;11235733;2592;4598418
Albania;ALB;2011;0;0;0;1134809033;26182937;5240143
Albania;ALB;2012;0;0;0;1146044766;26442174;4712095
Albania;ALB;2013;0;0;0;0;0;4814771
Algeria;DZA;1960;0;0;0;0;0;6161
Algeria;DZA;1961;0;0;0;0;0;6065218
Algeria;DZA;1962;0;0;0;0;0;5669182
Algeria;DZA;1963;0;0;0;0;0;5427
Algeria;DZA;1964;0;0;0;0;0;5650847
Algeria;DZA;1965;0;0;0;0;0;6596933
Algeria;DZA;1966;0;0;0;0;0;8430433
Algeria;DZA;1967;0;0;0;0;0;8441434
Algeria;DZA;1968;0;0;0;0;0;9061157
Algeria;DZA;1969;0;0;0;0;0;11276025
Algeria;DZA;1970;0;0;0;23634245;12857;15075037
Algeria;DZA;1971;0;0;0;27156713;14378;18668697
Algeria;DZA;1972;0;0;0;27736568;19905;28349577
Algeria;DZA;1973;0;0;0;26009806;24846;38312816
Algeria;DZA;1974;0;0;0;23513779;21589;31906567
Algeria;DZA;1975;0;0;0;27702344;19912;32031245
Algeria;DZA;1976;0;0;0;29073319;24080;39170894
Algeria;DZA;1977;0;0;0;3120367;25793;41891808
Algeria;DZA;1978;0;0;0;28260189;27812;62529684
Algeria;DZA;1979;0;0;0;3090731;27826;45621147
Algeria;DZA;1980;0;0;0;3423795;26046;66519
Algeria;DZA;1981;0;0;0;3127621;23624;46438888
Algeria;DZA;1982;0;0;0;3603998;23034;39269903
Algeria;DZA;1983;0;0;0;3735376;25512;52625117
Algeria;DZA;1984;0;0;0;3938612;27223;71103
Algeria;DZA;1985;0;0;0;4002472;31516;72786283
Algeria;DZA;1986;0;0;0;4097146;31152;76277267
Algeria;DZA;1987;0;0;0;4340155;31458;84121
Algeria;DZA;1988;0;0;0;4090016;31566;83948631
Algeria;DZA;1989;0;0;0;4087629;33252;80046943
Algeria;DZA;1990;326;0;0;4256176;32299;77942085
Algeria;DZA;1991;0;0;0;4153876;33405;80193623
Algeria;DZA;1992;0;0;0;4297902;37487;80890353
Algeria;DZA;1993;0;0;0;4413439;37397;82294814
Algeria;DZA;1994;0;0;0;4104958;36377;86500863
Algeria;DZA;1995;0;0;0;3636579;39603;95345667
Algeria;DZA;1996;0;0;0;3515989;40621;97131496
Algeria;DZA;1997;0;0;0;3729393;41837;88195017
Algeria;DZA;1998;0;0;0;4165036;42816;107080067
Algeria;DZA;1999;0;0;0;4472432;45719;92118707
Algeria;DZA;2000;311;0;61;4602787;45053;87930993
Algeria;DZA;2001;0;0;0;4705614;42263;84293329
Algeria;DZA;2002;0;0;0;4681868;42247;90853592
Algeria;DZA;2003;0;0;0;4740613;45122;92533078
Algeria;DZA;2004;0;0;0;4844308;44790;89493135
Algeria;DZA;2005;321;0;167;4876858;46737;107127738
Algeria;DZA;2006;0;0;0;4472525;47475;101165196
Algeria;DZA;2007;0;0;0;5561245;46547;109497
Algeria;DZA;2008;384;0;230;5639117;47437;110299693
Algeria;DZA;2009;0;0;0;6144;47046;121432705
Algeria;DZA;2010;426;0;275;6256885;47576;119178
Algeria;DZA;2011;0;0;0;631945385;48051255;121187016
Algeria;DZA;2012;0;0;0;63820227;48527;129987816
Algeria;DZA;2013;0;0;0;0;0;134215867
American Samoa;ASM;1970;0;0;0;1;612116;0
American Samoa;ASM;1971;0;0;0;1;6165;0
American Samoa;ASM;1972;0;0;0;1;623502;0
American Samoa;ASM;1973;0;0;0;1;632936;0
American Samoa;ASM;1974;0;0;0;1;645378;0
American Samoa;ASM;1975;0;0;0;1;657608;0
American Samoa;ASM;1976;0;0;0;1;667545;0
American Samoa;ASM;1977;0;0;0;1;683219;0
American Samoa;ASM;1978;0;0;0;1;68685;0
American Samoa;ASM;1979;0;0;0;1;689215;0
