Country;id;Year;Total CO2 (excluding Land-Use Change and Forestry) (MtCO2);Total CH4 (MtCO2e);Total N2O (MtCO2e);Total F-Gas (MtCO2e)
Afghanistan;AFG;1990;2,9150;9,3116;2,9841;0,0022
Afghanistan;AFG;1991;2,6844;9,5162;3,0822;0,0036
Afghanistan;AFG;1992;1,3923;9,5715;3,0417;0,0050
Afghanistan;AFG;1993;1,3227;9,6099;3,0891;0,0065
Afghanistan;AFG;1994;1,2677;9,7890;2,9207;0,0079
Afghanistan;AFG;1995;1,2201;10,0578;3,0477;0,0093
Afghanistan;AFG;1996;1,1542;10,8648;3,2870;0,0173
Afghanistan;AFG;1997;1,0699;11,5781;3,6113;0,0253
Afghanistan;AFG;1998;1,0149;12,1552;3,9211;0,0332
Afghanistan;AFG;1999;0,7988;12,9502;4,2104;0,0412
Afghanistan;AFG;2000;0,7511;12,0279;3,6678;0,0491
Afghanistan;AFG;2001;0,7951;11,0993;3,2506;0,0644
Afghanistan;AFG;2002;1,0699;12,7673;3,7821;0,0798
Afghanistan;AFG;2003;1,1945;13,1563;3,9847;0,0951
Afghanistan;AFG;2004;0,9490;13,1919;3,9001;0,1104
Afghanistan;AFG;2005;1,3264;13,4624;4,0702;0,1257
Afghanistan;AFG;2006;1,6525;13,7765;4,0485;0,1455
Afghanistan;AFG;2007;2,2680;14,0914;3,8742;0,1653
Afghanistan;AFG;2008;4,2026;15,1111;4,1311;0,1852
Afghanistan;AFG;2009;6,7637;15,4678;4,5063;0,2050
Afghanistan;AFG;2010;8,4528;16,9688;4,9831;0,2248
Afghanistan;AFG;2011;12,2304;17,1466;5,0859;0,2501
Afghanistan;AFG;2012;10,7465;17,2218;6,2579;0,2754
Afghanistan;AFG;2013;10,0064;17,3401;5,5238;0,3006
Afghanistan;AFG;2014;9,8012;17,7504;5,4886;0,3259
Albania;ALB;1990;6,0437;4,1084;1,5363;0,0035
Albania;ALB;1991;4,1104;3,8281;1,1769;0,0035
Albania;ALB;1992;2,2389;3,5125;1,1157;0,0034
Albania;ALB;1993;2,0789;3,3311;1,1836;0,0033
Albania;ALB;1994;2,1360;3,5780;1,4209;0,0033
Albania;ALB;1995;1,9489;3,3310;1,4115;0,0032
Albania;ALB;1996;1,9626;3,1722;1,2690;0,0038
Albania;ALB;1997;1,4813;2,9861;1,2082;0,0044
Albania;ALB;1998;1,8003;2,8541;1,2571;0,0050
Albania;ALB;1999;2,9713;2,8975;1,2105;0,0055
Albania;ALB;2000;3,1679;2,9218;1,2782;0,0061
Albania;ALB;2001;3,2200;2,8803;1,2411;0,0080
Albania;ALB;2002;3,7500;2,8338;1,3931;0,0099
Albania;ALB;2003;4,1095;2,8716;1,4098;0,0118
Albania;ALB;2004;4,2958;2,8013;1,3678;0,0136
Albania;ALB;2005;4,0655;2,7975;1,3728;0,0155
Albania;ALB;2006;4,0501;2,7660;1,3177;0,0163
Albania;ALB;2007;4,2233;2,6549;1,2935;0,0171
Albania;ALB;2008;4,1680;2,5346;1,2373;0,0178
Albania;ALB;2009;4,3233;2,4514;1,2376;0,0186
Albania;ALB;2010;4,5785;2,4660;1,2483;0,0194
Albania;ALB;2011;5,0377;2,4589;1,2683;0,0208
Albania;ALB;2012;4,5755;2,4955;1,2788;0,0222
Albania;ALB;2013;4,7868;2,4909;1,2556;0,0237
Albania;ALB;2014;5,2155;2,5181;1,2777;0,0251
Algeria;DZA;1990;68,0497;18,3927;4,2642;0,0272
Algeria;DZA;1991;67,1028;18,8063;4,2241;0,0381
Algeria;DZA;1992;66,3337;19,5386;4,4010;0,0490
Algeria;DZA;1993;73,6538;20,1554;4,4920;0,0598
Algeria;DZA;1994;71,7335;20,5827;4,3022;0,0707
Algeria;DZA;1995;73,2722;21,1603;4,2323;0,0816
Algeria;DZA;1996;71,6315;23,4754;4,3386;0,1477
Algeria;DZA;1997;73,0830;25,7748;4,2116;0,2138
Algeria;DZA;1998;74,8145;28,2746;4,8074;0,2800
Algeria;DZA;1999;77,8316;30,7578;4,7379;0,3461
Algeria;DZA;2000;78,9204;33,0690;4,6699;0,4122
Algeria;DZA;2001;75,1238;34,2268;4,8487;0,5484
Algeria;DZA;2002;80,8207;35,2820;4,6954;0,6847
Algeria;DZA;2003;84,2678;36,4356;4,8847;0,8210
Algeria;DZA;2004;85,4509;37,7266;5,5700;0,9572
Algeria;DZA;2005;89,6826;38,8589;4,9071;1,0935
Algeria;DZA;2006;94,5097;39,4431;5,2649;1,4955
Algeria;DZA;2007;101,4079;40,0636;5,3067;1,8976
Algeria;DZA;2008;105,9050;40,4988;4,9900;2,2996
Algeria;DZA;2009;114,1401;41,3014;5,7065;2,7016
Algeria;DZA;2010;114,5345;42,0193;5,9331;3,1037
Algeria;DZA;2011;118,6349;43,5407;5,9965;3,5769
Algeria;DZA;2012;126,5932;45,2086;6,4823;4,0502
Algeria;DZA;2013;129,8823;46,7329;6,3784;4,5235
Algeria;DZA;2014;140,6704;48,4261;7,9939;4,9967
Andorra;AND;1990;0,4067;0,0218;0,0008;0,0000
Andorra;AND;1991;0,4067;0,0232;0,0009;0,0000
Andorra;AND;1992;0,4067;0,0245;0,0009;0,0000
Andorra;AND;1993;0,4104;0,0258;0,0009;0,0000
Andorra;AND;1994;0,4067;0,0272;0,0010;0,0000
Andorra;AND;1995;0,4250;0,0285;0,0010;0,0000
Andorra;AND;1996;0,4543;0,0296;0,0010;0,0000
Andorra;AND;1997;0,4653;0,0307;0,0010;0,0000
Andorra;AND;1998;0,4910;0,0318;0,0010;0,0000
Andorra;AND;1999;0,5130;0,0329;0,0011;0,0000
Andorra;AND;2000;0,5240;0,0340;0,0011;0,0000
Andorra;AND;2001;0,5240;0,0354;0,0011;0,0000
Andorra;AND;2002;0,5313;0,0367;0,0011;0,0000
Andorra;AND;2003;0,5349;0,0381;0,0012;0,0000
Andorra;AND;2004;0,5606;0,0394;0,0012;0,0000
Andorra;AND;2005;0,5752;0,0408;0,0012;0,0000
Andorra;AND;2006;0,5459;0,0426;0,0013;0,0000
Andorra;AND;2007;0,5386;0,0444;0,0013;0,0000
Andorra;AND;2008;0,5386;0,0462;0,0013;0,0000
Andorra;AND;2009;0,5166;0,0480;0,0013;0,0000
Andorra;AND;2010;0,5166;0,0498;0,0014;0,0000
Andorra;AND;2011;0,4910;0,0511;0,0014;0,0000
Andorra;AND;2012;0,4873;0,0524;0,0014;0,0000
Andorra;AND;2013;0,4763;0,0538;0,0014;0,0000
Andorra;AND;2014;0,4617;0,0551;0,0014;0,0000
Angola;AGO;1990;6,3459;30,9534;14,9187;0,0020
Angola;AGO;1991;6,5453;32,3070;14,9592;0,0026
Angola;AGO;1992;6,3926;33,6688;15,0099;0,0031
Angola;AGO;1993;6,9158;34,9170;14,9586;0,0036
Angola;AGO;1994;6,7080;36,2504;14,9107;0,0042
Angola;AGO;1995;10,7926;37,4944;14,9112;0,0047
Angola;AGO;1996;11,4374;37,9507;14,3735;0,0079
Angola;AGO;1997;11,7562;38,6351;14,1303;0,0110
Angola;AGO;1998;11,4007;40,6245;15,6044;0,0142
Angola;AGO;1999;12,6656;40,5547;14,4411;0,0174
Angola;AGO;2000;12,3879;41,7080;14,8661;0,0205
Angola;AGO;2001;12,9637;45,8013;15,0734;0,0277
Angola;AGO;2002;13,6745;49,5936;14,9471;0,0348
Angola;AGO;2003;18,0759;54,9670;16,8474;0,0419
Angola;AGO;2004;19,0470;59,2422;17,3927;0,0491
Angola;AGO;2005;18,3490;63,2831;17,3274;0,0562
Angola;AGO;2006;20,4783;69,7444;15,6351;0,0644
Angola;AGO;2007;23,6299;78,4660;16,9515;0,0725
Angola;AGO;2008;25,2792;85,5781;16,0634;0,0806
Angola;AGO;2009;27,3502;93,4626;16,2634;0,0888
Angola;AGO;2010;28,6788;101,7940;17,1178;0,0969
Angola;AGO;2011;29,5741;103,7543;17,6832;0,1080
Angola;AGO;2012;29,9531;104,2083;16,2521;0,1190
Angola;AGO;2013;31,8233;106,5381;17,3808;0,1301
Angola;AGO;2014;33,2924;107,6339;16,7494;0,1411
Antigua & Barbuda;ATG;1990;0,2821;0,1091;0,0132;0,0000
Antigua & Barbuda;ATG;1991;0,2675;0,1133;0,0133;0,0029
Antigua & Barbuda;ATG;1992;0,2638;0,1176;0,0135;0,0059
Antigua & Barbuda;ATG;1993;0,2711;0,1221;0,0139;0,0088
Antigua & Barbuda;ATG;1994;0,2675;0,1268;0,0144;0,0118
Antigua & Barbuda;ATG;1995;0,2748;0,1312;0,0149;0,0147
Antigua & Barbuda;ATG;1996;0,2931;0,1354;0,0153;0,0282
Antigua & Barbuda;ATG;1997;0,3078;0,1395;0,0157;0,0416
Antigua & Barbuda;ATG;1998;0,3188;0,1436;0,0160;0,0551
Antigua & Barbuda;ATG;1999;0,3298;0,1477;0,0163;0,0685
Antigua & Barbuda;ATG;2000;0,3444;0,1518;0,0162;0,0819
Antigua & Barbuda;ATG;2001;0,3481;0,1544;0,0165;0,1035
Antigua & Barbuda;ATG;2002;0,3701;0,1567;0,0169;0,1250
Antigua & Barbuda;ATG;2003;0,4030;0,1591;0,0173;0,1465
Antigua & Barbuda;ATG;2004;0,4214;0,1613;0,0173;0,1680
Antigua & Barbuda;ATG;2005;0,4287;0,1630;0,0174;0,1895
Antigua & Barbuda;ATG;2006;0,4433;0,1650;0,0175;0,2153
Antigua & Barbuda;ATG;2007;0,4690;0,1676;0,0178;0,2412
Antigua & Barbuda;ATG;2008;0,4800;0,1694;0,0177;0,2670
Antigua & Barbuda;ATG;2009;0,5093;0,1711;0,0177;0,2929
Antigua & Barbuda;ATG;2010;0,5240;0,1602;0,0124;0,3187
Antigua & Barbuda;ATG;2011;0,5130;0,1621;0,0125;0,3447
Antigua & Barbuda;ATG;2012;0,5240;0,1640;0,0126;0,3708
Antigua & Barbuda;ATG;2013;0,5240;0,1659;0,0126;0,3968
Antigua & Barbuda;ATG;2014;0,5313;0,1679;0,0127;0,4228
Argentina;ARG;1990;105,8838;88,8718;36,6792;1,6609
Argentina;ARG;1991;110,9934;88,7217;36,3551;1,4614
Argentina;ARG;1992;113,0808;90,3140;37,2252;1,2618
Argentina;ARG;1993;114,2917;89,9503;36,7459;1,0622
Argentina;ARG;1994;122,1321;91,2317;37,9447;0,8626
Argentina;ARG;1995;123,9986;91,4110;37,7396;0,6631
Argentina;ARG;1996;133,6614;89,9780;38,5622;0,7408
Argentina;ARG;1997;137,7197;90,0729;38,2945;0,8186
Argentina;ARG;1998;141,1898;88,6433;37,8596;0,8963
Argentina;ARG;1999;144,5209;91,2366;38,6132;0,9741
Argentina;ARG;2000;143,5173;92,2600;40,6791;1,0518
Argentina;ARG;2001;132,7315;94,1039;43,1724;1,2728
Argentina;ARG;2002;125,0910;95,6490;41,7456;1,4938
Argentina;ARG;2003;135,4356;101,0967;45,9873;1,7148
Argentina;ARG;2004;151,2346;101,2352;44,7141;1,9359
Argentina;ARG;2005;154,4732;101,8021;44,2394;2,1569
Argentina;ARG;2006;164,4163;103,6056;45,8165;2,3951
Argentina;ARG;2007;171,8870;104,2533;48,0593;2,6333
Argentina;ARG;2008;183,0730;103,5819;45,9951;2,8715
Argentina;ARG;2009;175,1865;100,0705;41,4038;3,1098
Argentina;ARG;2010;180,5020;93,5255;42,7820;3,3480
Argentina;ARG;2011;188,4899;92,9773;43,1234;3,6047
Argentina;ARG;2012;192,6244;95,2441;42,2291;3,8615
Argentina;ARG;2013;188,6841;96,9757;44,4594;4,1182
Argentina;ARG;2014;199,7888;98,4930;45,9905;4,3749
Armenia;ARM;1990;20,0813;3,0833;0,7636;0,0148
Armenia;ARM;1991;20,9037;2,9377;0,7179;0,0160
Armenia;ARM;1992;10,8479;2,6201;0,7534;0,0172
Armenia;ARM;1993;5,0189;2,4263;0,6683;0,0184
Armenia;ARM;1994;2,7313;2,2885;0,5967;0,0196
Armenia;ARM;1995;3,4836;2,1512;0,5835;0,0208
Armenia;ARM;1996;2,5392;2,0223;0,5879;0,0299
Armenia;ARM;1997;3,3066;1,8856;0,5665;0,0390
Armenia;ARM;1998;3,4302;1,7231;0,5499;0,0481
Armenia;ARM;1999;3,0729;1,5967;0,5261;0,0572
Armenia;ARM;2000;3,5299;1,4726;0,5262;0,0663
Armenia;ARM;2001;3,6102;1,5005;0,5334;0,0905
Armenia;ARM;2002;3,0859;1,5331;0,6211;0,1147
Armenia;ARM;2003;3,4605;1,5652;0,6028;0,1389
