Country;id;Year;Energy %;IP %;Agriculture %;Waste %;Bunker Fuels %
Afghanistan;AFG;1990;24,80826725;0,375605077;48,26650517;26,5496225;0
Afghanistan;AFG;1991;22,09018656;0,383170076;49,92024102;27,60640235;0
Afghanistan;AFG;1992;13,66329517;0,454443107;54,46933288;31,41292885;0
Afghanistan;AFG;1993;11,96221004;0,464087384;54,90930325;32,66439932;0
Afghanistan;AFG;1994;10,41407295;0,47574985;55,0512301;34,0589471;0
Afghanistan;AFG;1995;8,665236778;0,474145013;56,36890816;34,49171005;0
Afghanistan;AFG;1996;7,697608449;0,495491476;58,53440097;33,27249911;0
Afghanistan;AFG;1997;6,746068812;0,515102612;60,48449386;32,25433472;0
Afghanistan;AFG;1998;6,113614259;0,536302859;61,77814544;31,57193745;0
Afghanistan;AFG;1999;4,6335378;0,554403209;63,92097514;30,89108386;0
Afghanistan;AFG;2000;4,98740646;0,453300339;59,91687507;34,64241813;0
Afghanistan;AFG;2001;5,591471734;0,592326884;55,0546554;38,76154599;0
Afghanistan;AFG;2002;6,244985817;0,616226532;58,80823444;34,33055321;0
Afghanistan;AFG;2003;6,545114544;0,714619639;58,79106375;33,94920207;0
Afghanistan;AFG;2004;5,203717145;0,809970514;58,51909896;35,46721338;0
Afghanistan;AFG;2005;6,916118165;0,816476391;57,40476594;34,8626395;0
Afghanistan;AFG;2006;8,373867849;0,872255527;56,02363144;34,73024519;0
Afghanistan;AFG;2007;11,12888453;0,882351894;53,61634148;34,3724221;0
Afghanistan;AFG;2008;17,78051083;0,861086963;50,85425029;30,50415192;0
Afghanistan;AFG;2009;25,11526759;0,81517493;46,58673508;27,4828224;0
Afghanistan;AFG;2010;27,59636148;0,793729551;46,79342457;24,8164844;0
Afghanistan;AFG;2011;35,2337662;0,773182261;41,50259332;22,49045822;0
Afghanistan;AFG;2012;31,15001836;0,851189072;44,77363411;23,22515845;0
Afghanistan;AFG;2013;30,14769409;0,983634804;44,09099377;24,77767734;0
Afghanistan;AFG;2014;29,28089706;1,130510081;44,33869532;25,24989754;0
Albania;ALB;1990;64,13391465;3,322197176;27,80918099;4,734707183;0
Albania;ALB;1991;58,37376383;3,455262386;32,04439614;6,126577645;0
Albania;ALB;1992;48,57928331;1,651956048;41,56296666;8,205793985;0
Albania;ALB;1993;43,38673918;1,71945112;46,27045948;8,623350219;0
Albania;ALB;1994;37,1450916;0,920872788;53,89305037;8,040985241;0
Albania;ALB;1995;31,3882334;1,692380414;58,26953435;8,649851837;0
Albania;ALB;1996;32,83730667;1,83444841;56,25190055;9,076344372;0
Albania;ALB;1997;29,34595144;1,176582708;59,19436473;10,28310113;0
Albania;ALB;1998;33,62729984;0,953562775;55,50507592;9,91406146;0
Albania;ALB;1999;43,67491869;0,945001302;45,66378623;8,187411809;1,528881967
Albania;ALB;2000;43,96908437;1,40393694;45,13192273;7,893787389;1,601268568
Albania;ALB;2001;46,09002214;0,256138369;43,965764;7,949957928;1,738117564
Albania;ALB;2002;49,1500323;0,259205283;41,62605727;7,363086746;1,601618399
Albania;ALB;2003;47,66208268;3,656702016;40,01068878;7,031677906;1,638848625
Albania;ALB;2004;49,53072642;3,599649319;38,13426262;6,99692939;1,738432252
Albania;ALB;2005;48,57943064;3,228090665;38,86103357;7,196559378;2,134885752
Albania;ALB;2006;49,08347528;3,469137949;38,39978974;7,358835913;1,688761118
Albania;ALB;2007;49,24644583;5,716749063;36,87387931;7,435545393;0,727380407
Albania;ALB;2008;49,70819655;6,05876669;35,56601434;7,671711659;0,995310764
Albania;ALB;2009;50,16267342;7,205928637;34,22781788;7,661995241;0,741584824
Albania;ALB;2010;50,48570878;8,120439151;33,34330883;7,452613975;0,597929262
Albania;ALB;2011;50,17230903;10,50944339;31,55392934;7,086022246;0,678295992
Albania;ALB;2012;44,88137082;13,38831953;33,54243962;7,476308229;0,711561797
Albania;ALB;2013;45,53257214;13,61829644;32,15922516;7,306933904;1,382972345
Albania;ALB;2014;48,67266354;12,41483726;31,04073439;6,994230793;0,877534018
Algeria;DZA;1990;81,25162362;3,614536687;7,86714707;4,616584628;2,650107994
Algeria;DZA;1991;81,39544883;3,676843375;7,695962974;4,881764579;2,349980245
Algeria;DZA;1992;80,80270897;3,755610353;8,020065112;5,09659215;2,325023417
Algeria;DZA;1993;82,07888634;3,496224299;7,494700116;4,89833728;2,031851966
Algeria;DZA;1994;82,0339933;3,421163062;7,252042613;5,186878223;2,105922797
Algeria;DZA;1995;81,81637081;3,763717964;7,008268723;5,280743923;2,130898578
Algeria;DZA;1996;81,46873215;3,64088524;7,047263301;5,864837144;1,978282166
Algeria;DZA;1997;81,42204301;3,859406769;6,655990219;6,265524969;1,797035029
Algeria;DZA;1998;80,82913953;3,932462118;7,061287938;6,567235909;1,609874503
Algeria;DZA;1999;81,05633033;3,799145035;6,794493396;6,799756575;1,550274665
Algeria;DZA;2000;80,64457853;4,074068843;6,5165345;7,126458735;1,638359395
Algeria;DZA;2001;79,83441657;4,262102534;6,838925839;7,368299826;1,696255226
Algeria;DZA;2002;80,4920785;4,406475903;6,287415007;7,051172385;1,762858205
Algeria;DZA;2003;81,05035969;4,345478393;6,242054003;6,888987474;1,473120436
Algeria;DZA;2004;79,74723912;5,078569603;6,72943497;6,791796719;1,652959586
Algeria;DZA;2005;79,99697181;5,640626157;6,015559218;6,630162129;1,716680685
Algeria;DZA;2006;79,60965203;6,342438387;6,059366333;6,428483706;1,560059542
Algeria;DZA;2007;79,85794103;6,663229751;5,83697315;6,164112662;1,477743409
Algeria;DZA;2008;79,92255738;7,186601711;5,392820026;6,036233213;1,461787672
Algeria;DZA;2009;79,7977202;7,38539533;5,66457147;5,732419644;1,419893356
Algeria;DZA;2010;79,29044389;7,651059169;5,857834305;5,736817315;1,463845323
Algeria;DZA;2011;79,68474102;7,635014606;5,775279052;5,606182373;1,298782947
Algeria;DZA;2012;80,03052039;7,449567438;5,857849391;5,341532606;1,320530174
Algeria;DZA;2013;80,32584124;7,36318993;5,716301374;5,253035721;1,341631733
Algeria;DZA;2014;80,04139275;7,696948013;6,264315132;4,944646179;1,05269793
Andorra;AND;1990;94,72085351;0;0;5,279146493;0
Andorra;AND;1991;94,42006129;0;0;5,579938712;0
Andorra;AND;1992;94,12117339;0;0;5,878826607;0
Andorra;AND;1993;93,87593623;0;0;6,124063773;0
Andorra;AND;1994;93,52903869;0;0;6,470961311;0
Andorra;AND;1995;93,50839164;0;0;6,491608355;0
Andorra;AND;1996;93,68470515;0;0;6,315294852;0
Andorra;AND;1997;93,613174;0;0;6,386825995;0
Andorra;AND;1998;93,72564144;0;0;6,274358555;0
Andorra;AND;1999;93,78582179;0;0;6,214178208;0
Andorra;AND;2000;93,72003084;0;0;6,279969156;0
Andorra;AND;2001;93,48960642;0;0;6,510393581;0
Andorra;AND;2002;93,34708886;0;0;6,652911137;0
Andorra;AND;2003;93,16553007;0;0;6,834469933;0
Andorra;AND;2004;93,2435653;0;0;6,756434697;0
Andorra;AND;2005;93,1958373;0;0;6,804162703;0
Andorra;AND;2006;92,56865591;0;0;7,431344091;0
Andorra;AND;2007;92,18568737;0;0;7,814312626;0
Andorra;AND;2008;91,89802401;0;0;8,101975993;0
Andorra;AND;2009;91,28632229;0;0;8,713677712;0
Andorra;AND;2010;90,99227084;0;0;9,007729161;0
Andorra;AND;2011;90,34437248;0;0;9,655627519;0
Andorra;AND;2012;90,05684461;0;0;9,943155385;0
Andorra;AND;2013;89,62572534;0;0;10,37427466;0
Andorra;AND;2014;89,10211668;0;0;10,89788332;0
Angola;AGO;1990;47,09875362;0,244529439;49,70034487;0,966884612;1,989487457
Angola;AGO;1991;48,60296713;0,239053177;48,52825275;0,966842415;1,662884531
Angola;AGO;1992;49,59676805;0,274286617;47,672903;0,971365869;1,484676466
Angola;AGO;1993;51,24209391;0,222130237;45,9598133;0,964877892;1,611084666
Angola;AGO;1994;51,81155821;0,211262174;44,75000626;0,964169116;2,263004244
Angola;AGO;1995;56,02886001;0,160908564;41,02374428;0,907980782;1,878506363
Angola;AGO;1996;57,82696638;0,221302657;39,41120973;0,920640371;1,619880863
