Country;id;Year;Energy (MtCO2e);Industrial Processes (MtCO2e);Agriculture (MtCO2e);Waste (MtCO2e);Bunker Fuels (MtCO2)
Afghanistan;AFG;1990;3,7740;0,0571;7,3427;4,0390;
Afghanistan;AFG;1991;3,3768;0,0586;7,6310;4,2200;
Afghanistan;AFG;1992;1,9143;0,0637;7,6314;4,4011;
Afghanistan;AFG;1993;1,6781;0,0651;7,7027;4,5822;
Afghanistan;AFG;1994;1,4565;0,0665;7,6991;4,7633;
Afghanistan;AFG;1995;1,2422;0,0680;8,0804;4,9444;
Afghanistan;AFG;1996;1,1795;0,0759;8,9693;5,0984;
Afghanistan;AFG;1997;1,0986;0,0839;9,8496;5,2525;
Afghanistan;AFG;1998;1,0469;0,0918;10,5792;5,4065;
Afghanistan;AFG;1999;0,8341;0,0998;11,5061;5,5606;
Afghanistan;AFG;2000;0,8227;0,0748;9,8839;5,7146;
Afghanistan;AFG;2001;0,8504;0,0901;8,3735;5,8954;
Afghanistan;AFG;2002;1,1053;0,1091;10,4085;6,0762;
Afghanistan;AFG;2003;1,2063;0,1317;10,8355;6,2570;
Afghanistan;AFG;2004;0,9445;0,1470;10,6220;6,4378;
Afghanistan;AFG;2005;1,3130;0,1550;10,8981;6,6186;
Afghanistan;AFG;2006;1,6432;0,1712;10,9935;6,8151;
Afghanistan;AFG;2007;2,2702;0,1800;10,9372;7,0116;
Afghanistan;AFG;2008;4,2015;0,2035;12,0169;7,2081;
Afghanistan;AFG;2009;6,7668;0,2196;12,5518;7,4047;
Afghanistan;AFG;2010;8,4526;0,2431;14,3326;7,6012;
Afghanistan;AFG;2011;12,2307;0,2684;14,4068;7,8071;
Afghanistan;AFG;2012;10,7473;0,2937;15,4476;8,0130;
Afghanistan;AFG;2013;10,0003;0,3263;14,6254;8,2190;
Afghanistan;AFG;2014;9,7699;0,3772;14,7941;8,4249;
Albania;ALB;1990;7,4985;0,3884;3,2514;0,5536;0,0000
Albania;ALB;1991;5,3231;0,3151;2,9221;0,5587;0,0000
Albania;ALB;1992;3,3376;0,1135;2,8556;0,5638;0,0000
Albania;ALB;1993;2,8622;0,1134;3,0524;0,5689;0,0000
Albania;ALB;1994;2,6515;0,0657;3,8470;0,5740;0,0000
Albania;ALB;1995;2,1013;0,1133;3,9010;0,5791;0,0000
Albania;ALB;1996;2,1041;0,1175;3,6044;0,5816;0,0000
Albania;ALB;1997;1,6668;0,0668;3,3622;0,5841;0,0000
Albania;ALB;1998;1,9896;0,0564;3,2840;0,5866;0,0000
Albania;ALB;1999;3,1423;0,0680;3,2854;0,5891;0,1100
Albania;ALB;2000;3,2951;0,1052;3,3822;0,5916;0,1200
Albania;ALB;2001;3,4472;0,0192;3,2884;0,5946;0,1300
Albania;ALB;2002;3,9894;0,0210;3,3787;0,5976;0,1300
Albania;ALB;2003;4,0716;0,3124;3,4179;0,6007;0,1400
Albania;ALB;2004;4,2737;0,3106;3,2904;0,6037;0,1500
Albania;ALB;2005;4,0959;0,2722;3,2765;0,6068;0,1800
Albania;ALB;2006;4,0691;0,2876;3,1834;0,6101;0,1400
Albania;ALB;2007;4,0622;0,4716;3,0416;0,6133;0,0600
Albania;ALB;2008;3,9954;0,4870;2,8587;0,6166;0,0800
Albania;ALB;2009;4,0586;0,5830;2,7693;0,6199;0,0600
Albania;ALB;2010;4,2217;0,6790;2,7882;0,6232;0,0500
Albania;ALB;2011;4,4381;0,9296;2,7912;0,6268;0,0600
Albania;ALB;2012;3,7845;1,1289;2,8284;0,6304;0,0600
Albania;ALB;2013;3,9508;1,1817;2,7904;0,6340;0,1200
Albania;ALB;2014;4,4372;1,1318;2,8298;0,6376;0,0800
Algeria;DZA;1990;75,7296;3,3689;7,3325;4,3028;2,4700
Algeria;DZA;1991;75,1615;3,3952;7,1065;4,5079;2,1700
Algeria;DZA;1992;74,7200;3,4729;7,4163;4,7129;2,1500
Algeria;DZA;1993;82,4080;3,5102;7,5248;4,9180;2,0400
Algeria;DZA;1994;81,0242;3,3791;7,1628;5,1230;2,0800
Algeria;DZA;1995;82,5498;3,7975;7,0711;5,3281;2,1500
Algeria;DZA;1996;82,7749;3,6993;7,1603;5,9589;2,0100
Algeria;DZA;1997;85,6342;4,0591;7,0003;6,5897;1,8900
Algeria;DZA;1998;88,8688;4,3236;7,7636;7,2204;1,7700
Algeria;DZA;1999;93,5904;4,3866;7,8452;7,8512;1,7900
Algeria;DZA;2000;95,9844;4,8490;7,7561;8,4820;1,9500
Algeria;DZA;2001;93,1889;4,9751;7,9829;8,6008;1,9800
Algeria;DZA;2002;99,5388;5,4492;7,7752;8,7197;2,1800
Algeria;DZA;2003;103,9869;5,5752;8,0085;8,8385;1,8900
Algeria;DZA;2004;105,1744;6,6979;8,8751;8,9573;2,1800
Algeria;DZA;2005;109,5095;7,7216;8,2348;9,0762;2,3500
Algeria;DZA;2006;113,7966;9,0661;8,6615;9,1891;2,2300
Algeria;DZA;2007;120,5102;10,0552;8,8083;9,3020;2,2300
Algeria;DZA;2008;124,6579;11,2092;8,4114;9,4149;2,2800
Algeria;DZA;2009;132,6315;12,2752;9,4151;9,5278;2,3600
Algeria;DZA;2010;133,2480;12,8576;9,8441;9,6408;2,4600
Algeria;DZA;2011;138,6587;13,2856;10,0495;9,7553;2,2600
Algeria;DZA;2012;147,8758;13,7649;10,8238;9,8698;2,4400
Algeria;DZA;2013;152,6730;13,9950;10,8648;9,9843;2,5500
Algeria;DZA;2014;163,4742;15,7200;12,7941;10,0988;2,1500
Andorra;AND;1990;0,4067;0,0000;0,0000;0,0227;
Andorra;AND;1991;0,4067;0,0000;0,0000;0,0240;
Andorra;AND;1992;0,4067;0,0000;0,0000;0,0254;
Andorra;AND;1993;0,4104;0,0000;0,0000;0,0268;
Andorra;AND;1994;0,4067;0,0000;0,0000;0,0281;
Andorra;AND;1995;0,4250;0,0000;0,0000;0,0295;
Andorra;AND;1996;0,4543;0,0000;0,0000;0,0306;
Andorra;AND;1997;0,4653;0,0000;0,0000;0,0317;
Andorra;AND;1998;0,4910;0,0000;0,0000;0,0329;
Andorra;AND;1999;0,5130;0,0000;0,0000;0,0340;
Andorra;AND;2000;0,5240;0,0000;0,0000;0,0351;
Andorra;AND;2001;0,5240;0,0000;0,0000;0,0365;
Andorra;AND;2002;0,5313;0,0000;0,0000;0,0379;
Andorra;AND;2003;0,5349;0,0000;0,0000;0,0392;
Andorra;AND;2004;0,5606;0,0000;0,0000;0,0406;
