Country;id;Year;Emission
Afghanistan;AFG;1990;15,213
Afghanistan;AFG;1991;15,286
Afghanistan;AFG;1992;14,011
Afghanistan;AFG;1993;14,028
Afghanistan;AFG;1994;13,985
Afghanistan;AFG;1995;14,335
Afghanistan;AFG;1996;15,323
Afghanistan;AFG;1997;16,285
Afghanistan;AFG;1998;17,124
Afghanistan;AFG;1999;18,001
Afghanistan;AFG;2000;16,496
Afghanistan;AFG;2001;15,209
Afghanistan;AFG;2002;17,699
Afghanistan;AFG;2003;18,430
Afghanistan;AFG;2004;18,151
Afghanistan;AFG;2005;18,985
Afghanistan;AFG;2006;19,623
Afghanistan;AFG;2007;20,399
Afghanistan;AFG;2008;23,630
Afghanistan;AFG;2009;26,943
Afghanistan;AFG;2010;30,630
Afghanistan;AFG;2011;34,713
Afghanistan;AFG;2012;34,502
Afghanistan;AFG;2013;33,171
Afghanistan;AFG;2014;33,366
Albania;ALB;1990;11,692
Albania;ALB;1991;9,119
Albania;ALB;1992;6,871
Albania;ALB;1993;6,597
Albania;ALB;1994;7,138
Albania;ALB;1995;6,695
Albania;ALB;1996;6,408
Albania;ALB;1997;5,680
Albania;ALB;1998;5,917
Albania;ALB;1999;7,085
Albania;ALB;2000;7,374
Albania;ALB;2001;7,349
Albania;ALB;2002;7,987
Albania;ALB;2003;8,403
Albania;ALB;2004;8,478
Albania;ALB;2005;8,251
Albania;ALB;2006;8,150
Albania;ALB;2007;8,189
Albania;ALB;2008;7,958
Albania;ALB;2009;8,031
Albania;ALB;2010;8,312
Albania;ALB;2011;8,786
Albania;ALB;2012;8,372
Albania;ALB;2013;8,557
Albania;ALB;2014;9,036
Algeria;DZA;1990;90,734
Algeria;DZA;1991;90,171
Algeria;DZA;1992;90,322
Algeria;DZA;1993;98,361
Algeria;DZA;1994;96,689
Algeria;DZA;1995;98,746
Algeria;DZA;1996;99,593
Algeria;DZA;1997;103,283
Algeria;DZA;1998;108,176
Algeria;DZA;1999;113,673
Algeria;DZA;2000;117,072
Algeria;DZA;2001;114,748
Algeria;DZA;2002;121,483
Algeria;DZA;2003;126,409
Algeria;DZA;2004;129,705
Algeria;DZA;2005;134,542
Algeria;DZA;2006;140,713
Algeria;DZA;2007;148,676
Algeria;DZA;2008;153,693
Algeria;DZA;2009;163,850
Algeria;DZA;2010;165,591
Algeria;DZA;2011;171,749
Algeria;DZA;2012;182,334
Algeria;DZA;2013;187,517
Algeria;DZA;2014;202,087
Andorra;AND;1990;0,429
Andorra;AND;1991;0,431
Andorra;AND;1992;0,432
Andorra;AND;1993;0,437
Andorra;AND;1994;0,435
Andorra;AND;1995;0,455
Andorra;AND;1996;0,485
Andorra;AND;1997;0,497
Andorra;AND;1998;0,524
Andorra;AND;1999;0,547
Andorra;AND;2000;0,559
Andorra;AND;2001;0,560
Andorra;AND;2002;0,569
Andorra;AND;2003;0,574
Andorra;AND;2004;0,601
Andorra;AND;2005;0,617
Andorra;AND;2006;0,590
Andorra;AND;2007;0,584
Andorra;AND;2008;0,586
Andorra;AND;2009;0,566
Andorra;AND;2010;0,568
Andorra;AND;2011;0,543
Andorra;AND;2012;0,541
Andorra;AND;2013;0,531
Andorra;AND;2014;0,518
Angola;AGO;1990;52,220
Angola;AGO;1991;53,814
Angola;AGO;1992;55,074
Angola;AGO;1993;56,795
Angola;AGO;1994;57,873
Angola;AGO;1995;63,203
Angola;AGO;1996;63,770
Angola;AGO;1997;64,533
Angola;AGO;1998;67,644
Angola;AGO;1999;67,679
Angola;AGO;2000;68,983
Angola;AGO;2001;73,866
Angola;AGO;2002;78,250
Angola;AGO;2003;89,932
Angola;AGO;2004;95,731
Angola;AGO;2005;99,016
Angola;AGO;2006;105,922
Angola;AGO;2007;119,120
Angola;AGO;2008;127,001
Angola;AGO;2009;137,165
Angola;AGO;2010;147,688
Angola;AGO;2011;151,120
Angola;AGO;2012;150,532
Angola;AGO;2013;155,872
Angola;AGO;2014;157,817
Antigua & Barbuda;ATG;1990;0,404
Antigua & Barbuda;ATG;1991;0,397
Antigua & Barbuda;ATG;1992;0,401
Antigua & Barbuda;ATG;1993;0,416
Antigua & Barbuda;ATG;1994;0,420
Antigua & Barbuda;ATG;1995;0,436
Antigua & Barbuda;ATG;1996;0,472
Antigua & Barbuda;ATG;1997;0,505
Antigua & Barbuda;ATG;1998;0,533
Antigua & Barbuda;ATG;1999;0,562
Antigua & Barbuda;ATG;2000;0,594
Antigua & Barbuda;ATG;2001;0,622
Antigua & Barbuda;ATG;2002;0,669
Antigua & Barbuda;ATG;2003;0,726
Antigua & Barbuda;ATG;2004;0,768
Antigua & Barbuda;ATG;2005;0,799
Antigua & Barbuda;ATG;2006;0,841
Antigua & Barbuda;ATG;2007;0,896
Antigua & Barbuda;ATG;2008;0,934
Antigua & Barbuda;ATG;2009;0,991
Antigua & Barbuda;ATG;2010;1,015
Antigua & Barbuda;ATG;2011;1,032
Antigua & Barbuda;ATG;2012;1,071
Antigua & Barbuda;ATG;2013;1,099
Antigua & Barbuda;ATG;2014;1,135
Argentina;ARG;1990;233,096
Argentina;ARG;1991;237,532
Argentina;ARG;1992;241,882
Argentina;ARG;1993;242,050
Argentina;ARG;1994;252,171
Argentina;ARG;1995;253,812
Argentina;ARG;1996;262,942
Argentina;ARG;1997;266,906
Argentina;ARG;1998;268,589
Argentina;ARG;1999;275,345
Argentina;ARG;2000;277,508
Argentina;ARG;2001;271,281
Argentina;ARG;2002;263,979
Argentina;ARG;2003;284,234
Argentina;ARG;2004;299,120
Argentina;ARG;2005;302,672
Argentina;ARG;2006;316,234
Argentina;ARG;2007;326,833
Argentina;ARG;2008;335,522
Argentina;ARG;2009;319,771
Argentina;ARG;2010;320,158
Argentina;ARG;2011;328,195
Argentina;ARG;2012;333,959
Argentina;ARG;2013;334,237
Argentina;ARG;2014;348,647
Armenia;ARM;1990;23,943
Armenia;ARM;1991;24,575
Armenia;ARM;1992;14,239
Armenia;ARM;1993;8,132
Armenia;ARM;1994;5,636
Armenia;ARM;1995;6,239
Armenia;ARM;1996;5,179
Armenia;ARM;1997;5,798
Armenia;ARM;1998;5,751
Armenia;ARM;1999;5,253
Armenia;ARM;2000;5,595
Armenia;ARM;2001;5,735
Armenia;ARM;2002;5,355
Armenia;ARM;2003;5,767
Armenia;ARM;2004;6,132
Armenia;ARM;2005;6,868
Armenia;ARM;2006;7,014
Armenia;ARM;2007;7,807
Armenia;ARM;2008;8,378
Armenia;ARM;2009;7,246
Armenia;ARM;2010;7,071
Armenia;ARM;2011;7,708
Armenia;ARM;2012;8,601
Armenia;ARM;2013;8,593
Armenia;ARM;2014;8,626
Australia;AUS;1990;478,210
Australia;AUS;1991;477,084
Australia;AUS;1992;477,078
Australia;AUS;1993;478,385
Australia;AUS;1994;485,477
Australia;AUS;1995;493,128
Australia;AUS;1996;495,632
Australia;AUS;1997;501,979
Australia;AUS;1998;529,979
Australia;AUS;1999;565,999
Australia;AUS;2000;588,021
Australia;AUS;2001;594,768
Australia;AUS;2002;593,982
Australia;AUS;2003;537,097
Australia;AUS;2004;583,956
Australia;AUS;2005;558,647
Australia;AUS;2006;593,302
Australia;AUS;2007;593,216
Australia;AUS;2008;573,521
Australia;AUS;2009;587,802
Australia;AUS;2010;561,621
Australia;AUS;2011;646,977
Australia;AUS;2012;648,607
Australia;AUS;2013;580,100
Australia;AUS;2014;589,735
Austria;AUT;1990;74,993
Austria;AUT;1991;78,938
Austria;AUT;1992;73,787
Austria;AUT;1993;73,772
Austria;AUT;1994;73,697
Austria;AUT;1995;76,313
Austria;AUT;1996;79,876
Austria;AUT;1997;78,791
Austria;AUT;1998;79,231
Austria;AUT;1999;77,364
Austria;AUT;2000;77,395
Austria;AUT;2001;81,501
Austria;AUT;2002;82,935
Austria;AUT;2003;88,760
Austria;AUT;2004;88,586
Austria;AUT;2005;89,065
Austria;AUT;2006;86,420
Austria;AUT;2007;84,046
Austria;AUT;2008;84,331
Austria;AUT;2009;77,912
Austria;AUT;2010;82,815
Austria;AUT;2011;81,107
Austria;AUT;2012;78,158
Austria;AUT;2013;78,474
Austria;AUT;2014;75,148
Azerbaijan;AZE;1990;74,860
Azerbaijan;AZE;1991;83,554
Azerbaijan;AZE;1992;59,478
Azerbaijan;AZE;1993;67,441
Azerbaijan;AZE;1994;60,656
Azerbaijan;AZE;1995;58,277
Azerbaijan;AZE;1996;53,279
Azerbaijan;AZE;1997;53,001
Azerbaijan;AZE;1998;53,470
Azerbaijan;AZE;1999;53,434
Azerbaijan;AZE;2000;55,155
Azerbaijan;AZE;2001;54,895
Azerbaijan;AZE;2002;55,203
Azerbaijan;AZE;2003;52,327
Azerbaijan;AZE;2004;53,036
Azerbaijan;AZE;2005;56,461
Azerbaijan;AZE;2006;56,784
Azerbaijan;AZE;2007;52,733
Azerbaijan;AZE;2008;57,584
Azerbaijan;AZE;2009;55,788
Azerbaijan;AZE;2010;57,404
Azerbaijan;AZE;2011;63,565
Azerbaijan;AZE;2012;67,453
Azerbaijan;AZE;2013;69,722
Azerbaijan;AZE;2014;72,598
Bahamas;BHS;1990;2,126
Bahamas;BHS;1991;1,960
Bahamas;BHS;1992;1,971
Bahamas;BHS;1993;1,881
Bahamas;BHS;1994;1,872
Bahamas;BHS;1995;1,873
