Country Name;Country Code;1970;1971;1972;1973;1974;1975;1976;1977;1978;1979;1980;1981;1982;1983;1984;1985;1986;1987;1988;1989;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012
Aruba;ABW;42;43;43;44;44;44;132;135;359;410;425;519;564;530;571;642;436;617;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Afghanistan;AFG;14307;14392;13041;13536;14946;14574;14747;15247;15112;14923;15691;15810;15615;15323;14279;13546;12269;12401;12959;12349;12528;12307;11370;11391;11291;11636;12506;13343;13793;14812;13531;12585;13843;14710;14654;14770;14849;15273;15289;15554;17791;17981;0
Angola;AGO;60649;39162;42206;44253;40179;44429;38448;43563;46235;56645;48002;41895;45244;44852;35878;36714;35982;46721;35737;39343;50807;43761;64998;39775;44657;48230;47136;33091;35275;36119;34781;34372;34490;35858;36860;35856;36376;36691;37396;38309;40029;40879;41657
Albania;ALB;6961;6950;7613;7348;7633;7873;8471;8949;9996;11248;11434;10520;10731;11568;12215;11822;12079;12175;12604;12553;11113;8274;6227;6067;6794;6422;6187;5501;5246;6493;8389;6821;7503;7834;7401;8308;8027;9879;8137;8109;8507;8712;8899
Andorra;AND;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Arab World;ARB;552362;576946;625016;699280;679448;683966;775864;799971;827156;883707;927714;838921;888520;902706;888826;740597;769537;774812;803739;841211;803899;844941;842558;888560;920111;1229230;1258069;1268678;1743814;1790897;1850378;1787026;1927544;1963193;1660587;1767879;1731289;2355481;2364089;2387502;1924245;2483349;1908696
United Arab Emirates;ARE;32962;41378;44905;56876;57412;57799;70353;69646;78630;57226;60173;53925;52759;50999;66621;67747;64880;62290;64751;71802;72499;80008;78760;81326;88015;93904;103035;101901;104993;107208;115421;115019;126800;134092;139999;143368;151837;167986;181389;182422;193127;199343;204889
Argentina;ARG;221957;213552;223912;226956;229456;233417;247052;247371;248238;255920;253871;245777;243613;248682;243112;238146;250785;256954;266245;265608;266555;267189;272139;276523;270948;275096;288246;299709;311515;333887;331451;326484;311052;344797;369944;358386;373601;384548;411504;373409;364684;372873;380295
Armenia;ARM;6246;6384;6751;7372;7984;11627;11929;12413;12915;13469;14508;15065;15765;15929;15993;16262;16486;16465;17614;17460;24730;25426;14513;8363;6108;6710;5992;6720;6737;6389;6868;6896;6460;6974;7633;8402;8744;9324;12470;11235;11393;12418;12319
American Samoa;ASM;13;13;13;14;14;14;14;15;15;15;15;17;16;17;17;18;19;19;20;21;20;21;22;22;22;23;23;24;24;31;48;51;51;52;52;53;53;54;55;55;57;58;59
Antigua and Barbuda;ATG;0;0;0;0;0;0;0;0;0;0;313;430;551;419;456;365;340;340;388;371;372;373;372;359;381;392;390;362;379;404;399;399;406;419;449;454;464;478;492;0;0;538;553
Australia;AUS;319037;314446;355431;333244;355843;377569;407573;414927;377956;412123;433837;387882;428740;386674;398136;456718;434735;412843;434706;460970;482298;499347;486992;479464;522430;489294;508883;921012;920773;1190138;1081244;1241516;1117450;1023668;1144344;909262;1119632;1065624;892629;1105167;782103;785795;761686
Austria;AUT;68415;71139;73531;77365;75066;72742;78085;75681;77923;80645;78845;75502;73094;73160;75543;76927;75473;75191;75022;74507;79837;83262;79225;79388;79756;82481;85648;84731;85729;83881;82687;85852;87387;92660;96331;97553;95637;93277;94609;89047;94172;92315;90460
Azerbaijan;AZE;26323;26658;28191;30860;33573;41477;42787;44513;46342;48376;51111;55449;56895;58641;59848;61419;62652;62972;65201;64809;78097;78973;0;52464;48458;42527;38971;37665;39953;40458;42647;41456;40299;44117;45006;47617;48492;45144;53833;49623;50725;53983;56537
Burundi;BDI;2203;2202;2279;2346;2346;2443;2459;2476;2497;2570;2391;2205;2231;2275;2324;2326;2497;2489;2648;2667;2799;2883;2923;3022;2977;2999;3047;3060;6229;2768;3399;3391;5030;5259;5370;5302;5553;5478;5725;5926;6041;6152;6254
Belgium;BEL;159838;154470;166247;172177;172793;153064;162851;161726;166668;176336;165434;153822;144654;135780;139849;137716;137674;136792;137543;137955;137873;142753;141130;138758;144398;146712;153314;149510;152175;147500;147051;144535;138049;144032;141188;136696;134803;131823;137214;131110;138029;137518;133374
Benin;BEN;35206;34457;34262;37045;29559;31603;32261;37590;32395;35202;43188;36459;41952;39352;39235;36124;36229;37712;35111;37911;47188;38173;44053;41176;41217;45323;45080;46264;49502;43491;40254;33015;47757;36886;31729;48573;36386;39886;37640;38068;33030;33290;33533
Burkina Faso;BFA;7374;7345;7048;6999;6558;6871;7107;7590;7413;7889;8673;8416;8991;8983;9197;9755;10130;10484;10689;11103;12151;11860;12608;12855;13311;14072;14495;15473;45358;41428;46470;41228;50062;43713;43284;47810;41364;43632;40706;43473;43406;43660;43910
Bangladesh;BGD;112709;107541;109807;111165;110459;115099;113277;114978;118410;120688;115248;116074;117882;112922;118500;118777;121514;120291;122477;126359;126702;126700;128626;128902;131296;136508;139005;140107;129130;138324;136013;142754;143813;146424;147368;151092;155321;161042;164701;169928;177504;180498;183301
Bulgaria;BGR;88038;88234;91405;92711;93955;100952;101831;105580;111576;116051;119752;116432;118133;117275;114918;117688;118758;118401;122089;116318;108086;85681;80517;78824;76810;81770;82853;78533;71902;65864;66195;68734;63711;70024;68866;68543;69901;72527;71720;65133;67945;72947;67943
Bahrain;BHR;3809;3952;5904;6763;7858;7965;8568;9310;9745;10339;10457;11139;12014;12365;12769;14634;16263;16127;16272;16281;17051;14436;15182;15330;15217;15330;15987;0;0;18048;0;19051;19967;20539;21451;23432;25118;0;0;29250;30922;31941;32849
Bahamas, The;BHS;3564;0;0;0;0;0;0;0;0;0;0;5978;5156;4570;4339;3441;3151;3169;3342;3552;3594;3469;3078;2959;3183;3532;3857;3536;3683;3580;3185;3152;3255;3556;3732;3854;4014;4129;4340;4336;4570;4726;4865
