Aruba;ABW;;;;;;;;;;;;;;;;;;;;;;;;;;;179,68;447,37;612,39;649,06;1639,15;1683,15;1463,13;1595,15;1613,48;1668,49;1690,49;1745,49;1796,83;1807,83;2379,88;2409,22;2438,56;2563,23;2618,24;2720,91;2717,25;2823,59;2658,58;2629,24;2508,23;2500,89;1349,46;861,75;872,75;;;
Afghanistan;AFG;414,37;491,38;689,40;707,73;839,74;1008,43;1092,77;1283,45;1224,78;942,42;1672,15;1895,84;1532,81;1639,15;1917,84;2126,86;1987,51;2390,88;2159,86;2240,54;1760,16;1983,85;2101,19;2522,90;2830,92;3509,32;3142,62;3124,28;2867,59;2775,92;2614,57;2438,56;1393,46;1345,79;1294,45;1243,11;1177,11;1096,43;1041,43;821,41;773,74;817,74;1070,76;1195,44;949,75;1327,45;1650,15;2273,54;4206,05;6769,28;8463,44;12240,45;10755,31;10014,58;9809,23;;;
Angola;AGO;550,05;454,71;1180,77;1151,44;1224,78;1188,11;1554,81;993,76;1672,15;2786,92;3582,66;3410,31;4506,74;4880,78;4873,44;4415,07;3285,63;3534,99;5412,49;5504,17;5346,49;5280,48;4649,76;5115,47;5009,12;4701,09;4660,76;5815,86;5130,13;5009,12;5115,47;5089,80;5196,14;5775,53;3890,69;10975,33;10458,28;7381,67;7308,33;9156,50;9541,53;9732,22;12665,82;9064,82;18793,38;19156,41;22266,02;25151,95;25709,34;27792,19;29057,31;30340,76;33399,04;32617,97;34763,16;;;
Albania;ALB;2024,18;2280,87;2464,22;2082,86;2016,85;2174,53;2552,23;2680,58;3072,95;3245,30;3744,01;4352,73;5643,51;5291,48;4345,40;4594,75;4950,45;5720,52;6494,26;7587,02;5170,47;7341,33;7308,33;7631,03;7825,38;7880,38;8056,40;7444,01;7326,67;8984,15;5515,17;4286,72;2515,56;2335,88;1925,18;2086,52;2016,85;1543,81;1752,83;2984,94;3021,61;3223,29;3751,34;4294,06;4165,71;4253,72;3898,02;3927,36;4374,73;4378,40;4598,42;5240,14;4910,11;5064,13;5716,85;;;
Andorra;AND;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;407,04;407,04;407,04;410,70;407,04;425,37;454,71;465,71;491,38;513,38;524,38;524,38;531,72;535,38;561,05;575,72;546,38;539,05;539,05;517,05;517,05;491,38;487,71;476,71;462,04;;;
Arab World;ARB;59535,40;65119,82;74322,01;87853,79;103146,74;123768,76;139012,39;149659,08;178719,21;213029,30;220469,52;250795,36;272741,78;318447,00;310771,99;307638,88;373316,74;395094,40;425706,41;455940,53;508535,64;497257,92;476720,29;508407,24;554637,08;586804,63;648157,04;649426,43;688300,44;699383,72;671736,06;740323,24;795658,90;877890,14;901869,05;866641,77;862033,83;833006,72;906420,06;919932,96;1045762,39;1040650,60;1062153,88;1143168,92;1252559,19;1318345,17;1381941,95;1359855,61;1491970,29;1581327,74;1645558,92;1655808,18;1796962,01;1775095,69;1895700,32;;;
United Arab Emirates;ARE;11,00;11,00;18,34;22,00;18,34;22,00;25,67;916,75;1243,11;20524,20;15247,39;21184,26;23454,13;30630,45;31327,18;31070,49;39651,27;38785,86;44814,41;36607,66;36904,69;36857,02;36871,69;35342,55;46394,88;49926,21;47234,63;47693,00;48367,73;54487,95;52009,06;57010,85;58136,62;65980,33;73130,98;70641,09;41059,40;41646,12;81495,41;78374,79;112562,23;101414,55;84704,03;106841,71;113240,63;116148,56;123874,93;135627,66;157354,64;167959,60;160812,62;165440,37;176386,37;170706,18;211369,55;;;
Argentina;ARG;48815,10;51180,32;53695,88;50083,89;55727,40;58866,35;63138,41;65543,96;69082,61;77329,70;82734,85;88939,42;90156,86;94065,88;95569,35;94931,30;99786,40;100791,16;102639,33;110703,06;108737,55;102041,61;103424,07;105213,56;106522,68;100596,81;104212,47;114942,12;121473,04;117090,98;112147,86;117098,31;121352,03;117927,05;122408,13;127963,63;135000,61;138003,88;139815,38;146984,36;142136,59;133720,82;124714,67;135062,94;157589,33;162110,74;175436,61;175176,26;189107,19;179961,69;187919,08;191633,75;192356,15;189851,59;204024,55;;;
Armenia;ARM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;5826,86;2555,90;2706,25;3410,31;2563,23;3234,29;3362,64;3014,27;3465,32;3542,32;3043,61;3428,65;3645,00;4352,73;4382,07;5064,13;5559,17;4360,06;4217,05;4917,45;5694,85;5496,83;5529,84;;;
American Samoa;ASM;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
